Created Date,Record Number,Record Type,Status,Address,Property/Project Name,Description,Expiration Date,Column 1,Column 2
10/28/2025,005709-25PA,Building & Land Use Pre-Application,Completed,2623   NE  UNIVERSITY VILLAGE  ST   SEATTLE,,Refresh of M/W restrooms in building A.  New fixtures and finishes per plan.,,,
10/27/2025,005687-25PA,Building & Land Use Pre-Application,Initiated,700    5TH  AVE   SEATTLE,test please ignore,test test test for ST3 PA filter creation,,,
10/27/2025,005697-25PA,Building & Land Use Pre-Application,Withdrawn,311    34TH  AVE  E  SEATTLE,Access Bridge Replacement,"This project involves the urgent replacement of damaged structural wooden beams that support the pedestrian access bridge of a single-family residence. The existing beams present a compromised structural integrity, which poses an immediate safety risk to the residents. As demonstrated in the attached plans, the scope of work is strictly limited to the bridge structure; no interior elements of the dwelling and no alterations to any of the slopes and ground covers in the steep slope areas.",,,
10/27/2025,005686-25PA,Building & Land Use Pre-Application,Completed,2708    2ND  AVE  N  SEATTLE,2708 2nd Ave N Foundation Repair,General maintenance and repairs to existing foundation. Underpin existing foundation to stabilize foundation wall. No change to existing footprint or use. No mechanical or utility work.,,,
10/27/2025,005688-25PA,Building & Land Use Pre-Application,Additional Info Requested,1715   E  MADISON  ST   SEATTLE,Seattle WA,"TOWER WORK:REMOVE (9) ANTENNA(S) AND (12) RRH(s).INSTALL MOUNT MODIFICATION(S), (6) BACK TO BACK RRUBRACKET(S), (6) ANTENNA(S), (12) RRU(s), AND (1) 0.96"" (24.3mm) 6AWG 6 DC POWER TRUNK(S).EXISTING (3) ANTENNA(S), (3) SQUID(S), (6) 0.74"" (18.7mm) 8 AWG 7DC POWER TRUNK(S), AND (3) 0.39"" (10mm) FIBER TRUNK(S)TO REMAIN.",,,
10/27/2025,005695-25PA,Building & Land Use Pre-Application,Reviews Completed,9604    MARY  AVE  NW  SEATTLE,,"Demolish the existing house and detached garage, and construct 4 new single-family structures with garage parking.",,,
10/27/2025,005689-25PA,Building & Land Use Pre-Application,Completed,5242    40TH  AVE  SW  SEATTLE,SEAVIEW,DEMO EXISTING SFR AND CONSTRUCT FOUR NEW SINGLE FAMILY UNITS.,,,
10/27/2025,005691-25PA,Building & Land Use Pre-Application,Completed,9737    12TH  AVE  NW  SEATTLE,,4-LOT ULS,,,
10/27/2025,005700-25PA,Building & Land Use Pre-Application,Completed,2002    BOYER  AVE  E  SEATTLE,Front Porch Enclosure,We would like to enclose our front porch to create an entryway.,,,
10/27/2025,005696-25PA,Building & Land Use Pre-Application,Completed,9824    LAKE CITY  WAY  NE  SEATTLE,,Minor TI consisting of light demo and new fixtures and finishes per plan.,,,
10/27/2025,005690-25PA,Building & Land Use Pre-Application,Additional Info Requested,3034    30TH  AVE  W  SEATTLE,,New gas line from PSE meter to utility room in basement,,,
10/26/2025,005685-25PA,Building & Land Use Pre-Application,Completed,5626    BROOKLYN  AVE  NE  SEATTLE,,Construct 4 new single family residences with 5 surface parking. Demo existing duplex. New/replaced impervious area is 4072 sf.,,,
10/26/2025,005682-25PA,Building & Land Use Pre-Application,Completed,3401    FREMONT  AVE  N  SEATTLE,,ALTERATION OF EXISTING COMMERCIAL SPACE (STARBUCKS) INTO RESTAURANT (COFFEE SHOP). INTERNAL WORK ONLY. NO EXTERIOR WORK.,,,
10/25/2025,005678-25PA,Building & Land Use Pre-Application,Completed,9706    57TH  AVE  S  SEATTLE,GEM Construction 9706 57th,Construct a new single-family residence with an attached garage.,,,
10/25/2025,005676-25PA,Building & Land Use Pre-Application,Completed,11018    MERIDIAN  AVE  N  SEATTLE,NORTHGATE CAFE SHOP,"PREVIOUS BUSINESS:THE SPACE WAS PREVIOUSLY OCCUPIED BY A FLOWER SHOP THAT SPECIALIZED IN SELLING FRESH , NATURAL FLOWERS.NEW BUSINESS DESCRIPTION:THE NEW CONCEPT IS A CAFE’ THAT SERVES SPECIALTY COFFEE, PASTRIES, AND TRADITIONAL MIDDLE EASTERN DESSERTS PRESENTED WITH A MODERN WESTERN TOUCH.WE OVERALL ATMOSPHERE AND DESIGN COMBINE AN ELEGANT EASTERN AESTHETIC WITH CONTEMPORARY WESTERN STYLE, CREATING A WARM AND INVITING SPACE FOR CUSTOMERS TO RELAX AND ENJOY.ALL COOKING EQUIPMENTS ARE ELECTRIC ONLY -NO GREASE- PRODUCING APPLIANCES. TYPE || UL -LISTED HOOD INSTALLED FOR STEAM /HEAT VENTILATION.GAS OVEN HAS AN EXTERNAL FLUE AND DOES NOT REQUIRE A HOOD.",,,
10/24/2025,005667-25PA,Building & Land Use Pre-Application,Completed,1519    32ND  AVE   SEATTLE,Jocelyn. Dadu,"Adding a 2-story, 1,000 square foot DADU on the east portion of the property",,,
10/24/2025,005664-25PA,Building & Land Use Pre-Application,Completed,9542    INTERLAKE  AVE  N  SEATTLE,Matt Cramer,Would like to demolish current building to reduce liability and clear for new construction project.,,,
10/24/2025,005666-25PA,Building & Land Use Pre-Application,Completed,4115    50TH  AVE  S  SEATTLE,,"Demolish existing residence.  Construct 3 new single family residences, parking per plan.  NPRHS to remain less than 5,000sf to allow weep to curb.  Future unit lot subdivision, provide -LU number.",,,
10/24/2025,005665-25PA,Building & Land Use Pre-Application,Completed,4036   E  MADISON  ST   SEATTLE,Mechanics Bank: Emergency Repair,"Emergency Repair from a vehicle impact to the exterior NE wall of the Mechanics Bank.  Repair structural damage to wall of the single story building approx 1,928 sf with partial basement 438 sf.  No repair work in basement or foundation.",,,
10/24/2025,005670-25PA,Building & Land Use Pre-Application,Completed,920    5TH  AVE   SEATTLE,Madison Centre 1st Floor Elevator Lobby Turnstile Installation,"Turnstile Installation @ Madison Center, 1st floor Elevator Lobby.",,,
10/24/2025,005673-25PA,Building & Land Use Pre-Application,Completed,9600    COLLEGE  WAY  N  SEATTLE,NSC Instructional Building Restroom Renovation,Renovation of existing room into a restroom.,,,
10/23/2025,005661-25PA,Building & Land Use Pre-Application,Completed,813   NE  92ND  ST   SEATTLE,,"Construct 3 single family residences, 2 attached garages and 3 surface parking. Demo existing SFR. New, replaced hard surface area is 3760 sf.",,,
10/23/2025,005650-25PA,Building & Land Use Pre-Application,Completed,608   N  44TH  ST   SEATTLE,Omalley Retrofit,Prescriptive earthquake retrofit to existing 1 story residence.,,,
10/23/2025,005658-25PA,Building & Land Use Pre-Application,Completed,5452    25TH  AVE  SW  SEATTLE,,Construct 2 duplexes (4 units) with 4 surface parking. Demo existing SFR.,,,
10/23/2025,005652-25PA,Building & Land Use Pre-Application,Additional Info Requested,1901    22ND  AVE  S  SEATTLE,,Repairing damage to external wall,,,
10/23/2025,005653-25PA,Building & Land Use Pre-Application,Additional Info Requested,5220    40TH  AVE  W  SEATTLE,HVAC for House Addition - 5220 40th Ave,HVAC installations.,,,
10/23/2025,005655-25PA,Building & Land Use Pre-Application,Completed,2401    UTAH  AVE  S  SEATTLE,,"Minor interior only TI consisting of demo, new partitions, fixtures and finishes per plan.",,,
10/23/2025,005648-25PA,Building & Land Use Pre-Application,Completed,1720   S  FOREST  ST   SEATTLE,Play to Learn childcare center,"The property at 1720 S Forest Street, Seattle, WA 98144 is located in an LR-1 (M1) zone. Per Table A for SMC 23.45.504, child care centers are permitted uses in this zone.According to the GIS maps, the current use of the property appears to be a church. I want to use the lower level of the building for a childcare center located within the church building.",,,
10/23/2025,005659-25PA,Building & Land Use Pre-Application,In Process,2529    YALE  AVE  E  SEATTLE,New consreuction,I new 2-story residence building wikk be constructed in the following year.,,,
10/23/2025,005646-25PA,Building & Land Use Pre-Application,Reviews Completed,10038    DIBBLE  AVE  NW  SEATTLE,,Remove existing structure. Construct 4 new SFRs,,,
10/23/2025,005647-25PA,Building & Land Use Pre-Application,Completed,2181    38TH  AVE  E  SEATTLE,Braun Pool,Install a new 16' x47' concrete pool in the back yard,,,
10/23/2025,005642-25PA,Building & Land Use Pre-Application,Withdrawn,434    LAKESIDE  AVE  S  SEATTLE,WO 2409142,Seattle City Light will be conducting routine repair and maintenance within the ROW on two utility poles that fall in the Shoreline Area.,,,
10/23/2025,005645-25PA,Building & Land Use Pre-Application,Completed,7727    19TH  AVE  NW  SEATTLE,7727 19th Ave,"Reconfigure main floor, upstairs and downstairs bath. ***PLAN REVIEW REQUIRED***",,,
10/23/2025,005649-25PA,Building & Land Use Pre-Application,Completed,1900    WESTLAKE  AVE   SEATTLE,SV Statue,"Construct monumental statue and base at Western Square Park, per plan.",,,
10/22/2025,005625-25PA,Building & Land Use Pre-Application,Completed,2360    43RD  AVE  E  SEATTLE,Lakeshore West Condos - Preventative Maintenance,Preventative maintenance for the water’s edge bulkhead to preserve its integrity and prevent further deterioration. Install spawning mix at the base of the external wall to enhance stability.,,,
10/22/2025,005615-25PA,Building & Land Use Pre-Application,Completed,1722    M L KING JR  WAY   SEATTLE,1722 M L KING JR WAY deck addition,Construct 2 new uncovered front porches on lot with existing duplex.,,,
10/22/2025,005622-25PA,Building & Land Use Pre-Application,Completed,5537    35TH  AVE  NE  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT ONE NEW SFR, AND DUPLEX, WITH PARKING PERPLAN.",,,
10/22/2025,005633-25PA,Building & Land Use Pre-Application,Completed,5008    PUGET  BLVD  SW  SEATTLE,Driveway for 5010 Puget Blvd. Project,Proposal for Vacant/Driveway Parcel 3438500272. NO STRUCTURES PROPOSED. Extend existing driveway to achieve access for new SFR/DADU proposed at adjacent property 5010 Puget Blvd SW access (SFR/DADU under separate review 704105-CN). Construction of driveway allowed per King County Record 20160429001525. Removal of one tree required to achieve access width requirements per code. Replacement tree will be on adjacent 5010 Puget Blvd. project re: property access limitations for subject driveway lot.,,,
10/22/2025,005639-25PA,Building & Land Use Pre-Application,Completed,2637    38TH  AVE  W  SEATTLE,Welch Addition,Add new second story to existing SFR,,,
10/22/2025,005621-25PA,Building & Land Use Pre-Application,Completed,3423    61ST  AVE  SW  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT TWO NEW DUPLEX'S, WITH PARKING PER PLAN.",,,
10/22/2025,005635-25PA,Building & Land Use Pre-Application,Completed,7344    44TH  AVE  SW  SEATTLE,Martinell Home Expansion,This project is proposing a 195 square foot primary bedroom expansion at the East side of the existing SFH.,,,
10/22/2025,005626-25PA,Building & Land Use Pre-Application,Completed,3603    34TH  AVE  W  SEATTLE,,2-UNIT ULS,,,
10/22/2025,005636-25PA,Building & Land Use Pre-Application,Completed,7755    15TH  AVE  NW  SEATTLE,,2 lot boundary line adjustment,,,
10/22/2025,005641-25PA,Building & Land Use Pre-Application,Completed,5456    25TH  AVE  SW  SEATTLE,,Construct 2 duplexes (4 units) with 4 surface parking. Demo existing SFR.,,,
10/22/2025,005617-25PA,Building & Land Use Pre-Application,Completed,3535   NE  88TH  ST   SEATTLE,Duty 3535 88th,construct new SFR with ADU,,,
10/22/2025,005629-25PA,Building & Land Use Pre-Application,Completed,4921    49TH  AVE  S  SEATTLE,reno & add 4921,Renovating and conditioning existing exterior stairwell.,,,
10/22/2025,005632-25PA,Building & Land Use Pre-Application,Completed,1959   NE  PACIFIC  ST   SEATTLE,,Equipment replacement renovation,,,
10/22/2025,005619-25PA,Building & Land Use Pre-Application,Completed,1524    M L KING JR  WAY   SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT THREE NEW SFR'S, WITH PARKING PER PLAN",,,
10/22/2025,005628-25PA,Building & Land Use Pre-Application,Completed,1108   E  SPRUCE  ST   SEATTLE,Augustine Demolition,Demolish a burned structure as it poses an attractive nuisance. Structure to be taken down to but not including concrete.,,,
10/22/2025,005613-25PA,Building & Land Use Pre-Application,Completed,5715   NE  70TH  ST   SEATTLE,Interior alts:  Basement bedroom,"Construct interior alterations to existing single family residence, subject-to-field inspection (STFI).",,,
10/22/2025,005620-25PA,Building & Land Use Pre-Application,Completed,12040    AURORA  AVE  N  SEATTLE,QQ 16-118,Please see attached Project Narrative.(PROPOSED QUICK QUACK CAR WASH; PROPOSED COVERED VACUUM STALL AREA),,,
10/21/2025,005601-25PA,Building & Land Use Pre-Application,Completed,10400    EAST MARGINAL  WAY  S  SEATTLE,Prologis Em Gtwy LBA #3,Lot Boundary Adjustment of 4 existing tax parcels into 4 resultant lots,,,
10/21/2025,005599-25PA,Building & Land Use Pre-Application,Completed,5047    44TH  AVE  NE  SEATTLE,,3-Lot ULS,,,
10/21/2025,005605-25PA,Building & Land Use Pre-Application,Completed,8257    15TH  AVE  NE  SEATTLE,KRUGER DADU/GARAGE,REMOVE EXISTING GARAGE AND CONSTRUCT NEW DADU ABOVE NEW GARAGE,,,
10/21/2025,005597-25PA,Building & Land Use Pre-Application,In Process,5075    LAKE WASHINGTON  BLVD  S,5075 Lake Washington Blvd Shed project,"An 8'X16' shed is proposed in the backyard area of the property, outside of any critical areas and buffers. The structure may qualify for a subject-to-field-inspection.",,,
10/21/2025,005600-25PA,Building & Land Use Pre-Application,Completed,8619    17TH  AVE  NE  SEATTLE,Legacy 17th,"Construction of two single family residences, each with an attached accessory dwelling unit and private garage.",,,
10/21/2025,005596-25PA,Building & Land Use Pre-Application,Completed,506    WARD  ST   SEATTLE,,6 lot unit lot subdivision,,,
10/21/2025,005598-25PA,Building & Land Use Pre-Application,Completed,400    DEXTER  AVE  N  SEATTLE,DEX L5 Safety Railings,Installation of new guardrails at the perimeter of existing level 5 north and south terraces.,,,
10/20/2025,005591-25PA,Building & Land Use Pre-Application,Additional Info Requested,400    HIGHLAND  DR   SEATTLE,Reinforce Front rockeries retaining wall,We have a front retaining wall (by the street on 400 Highlanbd Drive) built out of rockeries.  It’s been there since we purchased the house many years ago.It’s roughly 22 ft wide with the low end at about 20 inches tall and the high end at about 58 inches tall (with most of it under 48 inches tall).We would like to reinforce it by adjusting the position of some of the rocks and at the same time add more rockeries to fill and even out some of the gaps.,,,
10/20/2025,005574-25PA,Building & Land Use Pre-Application,Completed,728    12TH  AVE  E,728 12TH AVE E,CONSTRUCT NEW SINGLE FAMILY RESIDENCE WITH ATTACHED GARAGE,,,
10/20/2025,005593-25PA,Building & Land Use Pre-Application,Completed,7039    24TH  AVE  NW  SEATTLE,,Lot Boundary Adjustment,,,
10/20/2025,005588-25PA,Building & Land Use Pre-Application,Completed,2548    AIRPORT  WAY  S  SEATTLE,Airport Way TI,Interior TI with structural scope and equipment footings per plan,,,
10/20/2025,005579-25PA,Building & Land Use Pre-Application,Completed,223    YALE  AVE  N  SEATTLE,Alley 24 Work Club,"Demolition of existing non-structural partitions, fixtures & finishes and construction of new partitions, fixtures and finishes per plans, including operable partitions and structural reinforcement per plans",,,
10/20/2025,005589-25PA,Building & Land Use Pre-Application,Withdrawn,2400    11TH  AVE  SW  SEATTLE,Geotechnical boring and sediment sampling in the East Duwamish Waterway,SDCI Shoreline Exemption Request for geotechnical boring and sediment sampling in the East Duwamish Waterway adjacent to APN 766670-1356. All work is in-water. The King County Wastewater Treatment Division (WTD) is in the early stages of project development for the Mouth of Duwamish Combined Sewer Overflow (MDCSO) Program. King County WTD is proposing to perform geotechnical investigations and sediment sampling in the East Duwamish Waterway and seeking a Shoreline Exemption for temporary and limited to site investigation for a forthcoming development application (SMC 23.60A.020(C)(12). Scope of work is exempt from a grading permit under SMC 22.170.060(B)(3).,,,
10/20/2025,005592-25PA,Building & Land Use Pre-Application,Withdrawn,2535   W  PLYMOUTH  ST,Gas line connection,Connect gas line to furnace,,,
10/20/2025,005580-25PA,Building & Land Use Pre-Application,Completed,323   N  46TH  ST   SEATTLE,323B - add 1 bedroom & 1 bathroom,"Construct alterations to two-family dwelling, subject to field inspection (STFI).",,,
10/18/2025,005567-25PA,Building & Land Use Pre-Application,Completed,6302    37TH  AVE  SW  SEATTLE,,"Construct 2 primary residences and 2 detached accessory dwelling units, per plan.  Demolish existing owner occupied home",,,
10/18/2025,005568-25PA,Building & Land Use Pre-Application,Completed,507  B  W  OLYMPIC  PL   SEATTLE,"507 B W OLYMPIC PL, Unit B - Construction - Delaney Condo Fenestration","****PLAN REVIEW REQUIRED**** Construct alterations at 2nd and 3rd levels of dwelling unit [UNIT B] in multi-family building, per plan.",,,
10/17/2025,005551-25PA,Building & Land Use Pre-Application,Completed,736   N  96TH  ST   SEATTLE,Wang Residential Development,"Construct detached ADU, construct primary residence with attached ADU (3 new dwelling units).",,,
10/17/2025,005565-25PA,Building & Land Use Pre-Application,Additional Info Requested,2217   W  RUFFNER  ST   SEATTLE,Tom & Anna Basement,Interior alterations of existing basement,,,
10/17/2025,005562-25PA,Building & Land Use Pre-Application,Completed,9552    4th  AVE  NW,,DEMOLISH EXISTING STRUCTURES.  CONSTRUCT SINGLE FAMILY1 AND SINGLE FAMILY 2 WITH PARKING PER PLAN.,,,
10/17/2025,005552-25PA,Building & Land Use Pre-Application,Completed,12027    22ND  AVE  NE  SEATTLE,Halit Demolition,Demo an existing residence in anticipation of a new residence in it's place.,,,
10/17/2025,005544-25PA,Building & Land Use Pre-Application,Completed,3209   NE  94TH  ST   SEATTLE,3209 NE 94TH - 2 Lot ULS,"2 Unit Lot, Unit Lot Short Subdivision for 2 detached units (SFR & DADU) constructed under Permit No. 7023639-CN.",,,
10/17/2025,005545-25PA,Building & Land Use Pre-Application,Completed,715    29TH  AVE  E  SEATTLE,Khademi - 29th Ave Apt.,6 unit apartment building - 1 AADU and 5 principal units.  Demolish existing SFR and DADU.,,,
10/17/2025,005556-25PA,Building & Land Use Pre-Application,Completed,10729    PALATINE  AVE  N  SEATTLE,,CONSTUCT (3) NEW UNIT PER PLAN W/ ATTCHED GARAGE. EXISTING SFR TO REMAIN,,,
10/17/2025,005547-25PA,Building & Land Use Pre-Application,Completed,6556    16TH  AVE  NE  SEATTLE,,"3-Unit ULS, existing SFR to remain",,,
10/17/2025,005553-25PA,Building & Land Use Pre-Application,Completed,4803   S  FINDLAY  ST   SEATTLE,4803 S Findlay Dev,Construct (2) DADU's in the rear of an existing SFR. Attached w/ single garages per plan.,,,
10/17/2025,005563-25PA,Building & Land Use Pre-Application,Completed,3408   W  BERTONA  ST   SEATTLE,"NEW SFR, & 2 AADUs","Demo existing SFR, and construct (1) new SFR with 2-car garage, AADU in basement and AADU above garage",,,
10/17/2025,005561-25PA,Building & Land Use Pre-Application,Completed,4840    50TH  AVE  SW  SEATTLE,#298 KIM JAMES TOWNHOUSE CONSTRUCTION,***TOWNHOUSE CONSTRUCTION,,,
10/16/2025,005542-25PA,Building & Land Use Pre-Application,Completed,651   W  BERTONA  ST   SEATTLE,,"Adding one bedroom by dividing the existing living room, enclosing the rear door, adding a pantry, converting the bathtub to a shower, and adding plumbing for a washer and dryer.",,,
10/16/2025,005532-25PA,Building & Land Use Pre-Application,In Process,1714    2ND  AVE  N  SEATTLE,Whim W'him,The goal is to adjust the existing common property line between 1714 2nd Ave N. and 201 Blain St - (Both being Tax Parcel 0809000980.,,,
10/16/2025,005537-25PA,Building & Land Use Pre-Application,Completed,2043   N  78TH  ST   SEATTLE,,"DEMOLISH EXISTING BUILDING ANDCONSTRUCT TWO NEW DUPLEXS, WITH PARKING PER PLAN.",,,
10/16/2025,005535-25PA,Building & Land Use Pre-Application,Completed,3839    21st  AVE  SW,3839 21st Ave SW,To construct 3 townhouses,,,
10/16/2025,005525-25PA,Building & Land Use Pre-Application,Completed,1409    37TH  AVE   SEATTLE,Stabilize Bunker Garage,Stabilize Existing Concrete Bunker Garage to ensure the stability of the significant tree adjacent to the bunker garage,,,
10/16/2025,005526-25PA,Building & Land Use Pre-Application,Completed,8279    LAKE CITY  WAY  NE  SEATTLE,8279 Lake City Retaining Wall,A developed commercial site is located on Lake City Way. The site is bordered by residential lots on the north and west sides. The surrounding residential lots are at a higher grade and a timber retaining wall was installed during the original development. A section of approximately 16ft of the existing north timber retaining wall has failed. It was buttressed 2-3 years ago but continued movement has been observed. The section of wall that has failed is 15.5ft tall. The failing section of wall will be stabilized with a new soldier pile wall in front of the existing wall. The new soldier pile wall will consist of steel piles with treated wood lagging. The area between the new and existing wall will be filled with crushed rock. The new wall will be 20ft long and will partially extend in the parking lot. The repair will be designed based on the recommendations of the geotechnical engineer.,,,
10/16/2025,005524-25PA,Building & Land Use Pre-Application,Completed,12701    LAKE CITY  WAY  NE  SEATTLE,Lake City Center LBA,"The line between Lots 7 and 8 in Block 3 of Cedar Park, recorded in Volume 26 of Plats at Page 19, records of King County, Washington will be removed and replaced by a new North-South line.",,,
10/16/2025,005541-25PA,Building & Land Use Pre-Application,Completed,3250    CALIFORNIA  AVE  SW  SEATTLE,Charles Apartments Handrail Replacement,In-place replacement of existing exterior handrails and guardrails. ***PLAN REVIEW REQUIRED***,,,
10/16/2025,005533-25PA,Building & Land Use Pre-Application,Completed,1511    11TH  AVE  W  SEATTLE,Deck Maintenence,Upgrading existing post to a larger pressure treated post in the same location. ***PASV and EX and Plan Review Required***,,,
10/15/2025,005495-25PA,Building & Land Use Pre-Application,Completed,4316   S  GENESEE  ST   SEATTLE,Genesee Maintenance Crew Headquarters Decarbonization and Electrification,"Decarbonization of the building HVAC systems including the following:1. Demolish and remove existing gas furnace and associated appurtenances, unit heaters, exhaust fans, and controls.2. Provide a DOAS unit with energy recovery ventilation in Building A. Provide split system heat pumps for building conditioning for both Buildings A and B. Provide two split system heat pumps in Building A. Provide two split system heat pumps in Building B.3. Provide plumbing scope including the following:4. Demolish existing gas water heater, gas piping, flue, and associated appurtenances. Provide two electric heat pump hot water heaters.5. Provide electrical engineering to support decarbonization of the HVAC systems.6. Provide architectural support for the HVAC and Electrical updates.",,,
10/15/2025,005490-25PA,Building & Land Use Pre-Application,In Process,9705    35TH  AVE  SW  SEATTLE,,Construction of 2 new 1000 SF DADU's at rear of existing residence using standard plan 6794017-SP,,,
10/15/2025,005519-25PA,Building & Land Use Pre-Application,Completed,6701    SEAVIEW  AVE  NW  SEATTLE,Seaview Boatyard Repairs,Replace in kind deteriorated W12x30 beams at existing pier structure.,,,
10/15/2025,005504-25PA,Building & Land Use Pre-Application,Completed,8817    9TH  AVE  SW  SEATTLE,,6 lot uls,,,
10/15/2025,005506-25PA,Building & Land Use Pre-Application,Completed,9632    MARY  AVE  NW  SEATTLE,James Raptis,Add wall and door to split one resident bedroom into two for a total of 7 resident bedrooms. Floor Framing for proposed wall was in original permit. No changes to exterior,,,
10/15/2025,005500-25PA,Building & Land Use Pre-Application,Completed,531    FEDERAL  AVE  E  SEATTLE,,3 Lot ULS,,,
10/15/2025,005502-25PA,Building & Land Use Pre-Application,Completed,9033    25TH  AVE  SW  SEATTLE,Panda Express BLDG TI,Anchoring of (2) water heater units. Enlarging the concrete curbs to accommodate the two (2) new water heater units. Relocating the lockers to a different location. Rearranging some wire shelf locations.,,,
10/15/2025,005499-25PA,Building & Land Use Pre-Application,Completed,1023  A  NE  66TH  ST   SEATTLE,Roosevelt Station LBA,"Sound Transit is preparing to offer surplus property adjacent to Roosevelt Station for transit-oriented development. As part of this effort, Sound Transit will adjust lot lines of the parcel and record easements to protect its interests as well as to delineate the areas for utilities and infrastructure.",,,
10/15/2025,005494-25PA,Building & Land Use Pre-Application,Completed,3801    DISCOVERY PARK  BLVD   SEATTLE,Discovery Park ELC Decarbonization and Electrification,"Decarbonization of the building HVAC systems including the following:1) Demolish and remove existing gas heating equipment, piping, ductwork, and controls with the following parameters:    a. Demolish hot water piping back to mains and cap.    b. Demolish any existing ductwork with water damage or mold. 2) Provide dedicated outside air system (DOAS) with energy recovery for building ventilation.3) Provide Air to Water heat pumps to serve zone level Fan Coil Units for building conditioning. 4) Provide electrical engineering to support decarbonization of the HVAC systems.5) Provide architectural support for the HVAC and Electrical updates.",,,
10/15/2025,005497-25PA,Building & Land Use Pre-Application,Completed,4600    38TH  AVE  S  SEATTLE,Rainier Community Center Decarbonization and Electrification,"Decarbonization of the building HVAC systems including the following:1. Demolish and remove existing gas heating equipment. existing airside system, hydronic piping, ductwork, and controls to remain. 2. Provide and install an air-source heat pump to provide space heating hot water and chilled water. Provide and install heating distribution pumps. Provide and install chilled water distribution pumps.3. Cooling coils, provide 20 coils, one per cooling zone, and all necessary piping and piping appurtenances. 4. Provide electrical engineering to support decarbonization of the HVAC systems.5. Provide architectural support for the HVAC and Electrical updates.",,,
10/15/2025,005518-25PA,Building & Land Use Pre-Application,Withdrawn,2700   W  COMMODORE  WAY   SEATTLE,MIC Comprehensive Repair and Maintenance Program,"The Port of Seattle is requesting approval of a comprehensive repair and maintenance program (Program) to allow routine maintenance and repair of lawfully established structures, surfaces, and utilities, along the Port’s controlled shoreline. The activities will be conducted at specific locations as needed, with the Program being implemented over a ten (10) year period. The purpose of this Program is the development of one comprehensive shoreline exemption for each Port facility that would authorize a group of activities that meet the terms of one or more of the allowable shoreline exemptions pursuant to Chapter 23.60A.020 of the Seattle Shoreline Master Program",,,
10/15/2025,005516-25PA,Building & Land Use Pre-Application,Completed,6333    38TH  AVE  SW  SEATTLE,,Construct 3 single-family units all with attached garages.,,,
10/15/2025,005510-25PA,Building & Land Use Pre-Application,Completed,1215    4TH  AVE   SEATTLE,UW Financial Center Exterior Upgrade TI,"Project includes the removal and replacement of the existing lobby entry system with a new glass vestibule, curtain wall, and architectural metal portal entry to update the exterior entry per plan.",,,
10/15/2025,005511-25PA,Building & Land Use Pre-Application,Completed,1133    37TH  AVE   SEATTLE,Ferraro 2nd Story Renovation,"Construct alterations to one-family dwelling, subject to field inspection (STFI)",,,
10/14/2025,005476-25PA,Building & Land Use Pre-Application,Completed,3645  E   22ND  AVE  W  SEATTLE,,Construct alterations to existing Townhouse building.  Add infill floor to existing double height living room.  No ground disturbance or increase in building envelope area. Work isolated to Unit E.,,,
10/14/2025,005487-25PA,Building & Land Use Pre-Application,Completed,135    32ND  AVE   SEATTLE,Leschi Playfield Improvements,Playfield improvements project to install synthetic turf and gravel base material on top of the existing asphalt playfield and add a small retaining wall.,,,
10/14/2025,005474-25PA,Building & Land Use Pre-Application,Completed,1701   NE  GRANT  LN   SEATTLE,,RENOVATING SPACE FOR THE STEM MICROSCOPE,,,
10/14/2025,005481-25PA,Building & Land Use Pre-Application,Completed,5070   SW  OLGA  ST   SEATTLE,Elkinton Foundation Repair,Installation of 11 helical piles to stabilize SFR after settling.,,,
10/14/2025,005470-25PA,Building & Land Use Pre-Application,Completed,904    7TH  AVE   SEATTLE,Optum Madison Center Diagnostic Imaging Renovation,"Renovation of existing B OCCUPANCY clinic space for the inclusions of MRI and Spec-CT equipment along with associated staff and patient spaces for the existing Diagnostic Imaging clinic located on the second floor of the building. Occupancy type, occupancy load, and egress components remain as is and unchanged.",,,
10/14/2025,005480-25PA,Building & Land Use Pre-Application,Completed,4155    37TH  AVE  SW  SEATTLE,Anshu Sharma. 2x Schooner,"Adding two 2-story, 1,000 sq ft pre-approved Schooner DADUs on the west portion of the property",,,
10/14/2025,005471-25PA,Building & Land Use Pre-Application,In Process,8536    INTERLAKE  AVE  N  SEATTLE,Le Interlake Units,Create a new 3 story duplex behind the existing single family home at 8536 Interlake Avenue North.,,,
10/14/2025,005485-25PA,Building & Land Use Pre-Application,Completed,4935    30TH  AVE  S  SEATTLE,jwa798,CONSTRUCT (1) DADU WITH ATTACHED GARAGE AND ONE OPEN PARKING STALL. EXISTING SFR TO REMAIN.,,,
10/14/2025,005482-25PA,Building & Land Use Pre-Application,Completed,3637    22ND  AVE  W  SEATTLE,Marron Foundation Repair,Installation of 3 helicals to stabilize the SFR foundation.,,,
10/14/2025,005484-25PA,Building & Land Use Pre-Application,Completed,3726    47th  PL  NE,Winfield 3726 47th,Demolish existing house. Construction of a new single family house with an attached garage.,,,
10/14/2025,005478-25PA,Building & Land Use Pre-Application,Completed,1020    BELLEVUE  CT  E  SEATTLE,LBA,We are proposing a Lot Boundary Adjustment,,,
